471 =  'INVALID: MARIANA ISLANDS, NORTHERN'='INVALID'
737 =  'INVALID: MIDWAY ISLANDS'='INVALID'
753 =  'INVALID: MINOR OUTLYING ISLANDS - USA'='INVALID'
740 =  'INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)'='INVALID' 
710 =  'INVALID: NON-QUOTA IMMIGRANT'='INVALID'
505 =  'INVALID: PUERTO RICO'='INVALID'
0  =  'INVALID: STATELESS'='INVALID'
705 =  'INVALID: STATELESS'='INVALID'
583 =  'INVALID: UNITED STATES'='INVALID'
407 =  'INVALID: UNITED STATES'='INVALID'
999 =  'INVALID: UNKNOWN'='INVALID'
239 =  'INVALID: UNKNOWN COUNTRY'='INVALID'
134 =  'INVALID: USSR'='INVALID'
506 =  'INVALID: U.S. VIRGIN ISLANDS'='INVALID'
755 =  'INVALID: WAKE ISLAND'='INVALID'
